"Site.Name","Date","COUNTY","meanlat","meanlong","year","month","PM2.5","Ozone"
"Bryson City",2020-10-19,"Swain",35.434767,-83.442133,2020,10,33,28.5
"Bryson City",2020-10-20,"Swain",35.434767,-83.442133,2020,10,24,31
"Bryson City",2020-10-21,"Swain",35.434767,-83.442133,2020,10,19,28.5
"Bryson City",2020-10-22,"Swain",35.434767,-83.442133,2020,10,21,30.5
"Bryson City",2020-10-23,"Swain",35.434767,-83.442133,2020,10,36,32
"Bryson City",2020-10-24,"Swain",35.434767,-83.442133,2020,10,35,33
"Bryson City",2020-10-25,"Swain",35.434767,-83.442133,2020,10,37.5,24
"Bryson City",2020-10-26,"Swain",35.434767,-83.442133,2020,10,28.5,26
"Bryson City",2020-10-27,"Swain",35.434767,-83.442133,2020,10,19,30
"Bryson City",2020-10-28,"Swain",35.434767,-83.442133,2020,10,21,35.5
"Bryson City",2020-10-29,"Swain",35.434767,-83.442133,2020,10,20.5,33
"Bryson City",2020-10-30,"Swain",35.434767,-83.442133,2020,10,20.5,24
"Bryson City",2020-10-31,"Swain",35.434767,-83.442133,2020,10,21.5,27
"Bryson City",2020-11-01,"Swain",35.434767,-83.442133,2020,11,29,NA
"Bryson City",2020-11-02,"Swain",35.434767,-83.442133,2020,11,18,NA
"Bryson City",2020-11-03,"Swain",35.434767,-83.442133,2020,11,27.5,NA
"Bryson City",2020-11-04,"Swain",35.434767,-83.442133,2020,11,34,NA
"Bryson City",2020-11-05,"Swain",35.434767,-83.442133,2020,11,27.5,NA
"Bryson City",2020-11-06,"Swain",35.434767,-83.442133,2020,11,21.5,NA
"Bryson City",2020-11-07,"Swain",35.434767,-83.442133,2020,11,31,NA
"Bryson City",2020-11-08,"Swain",35.434767,-83.442133,2020,11,25.5,NA
"Bryson City",2020-11-09,"Swain",35.434767,-83.442133,2020,11,26.5,NA
"Bryson City",2020-11-10,"Swain",35.434767,-83.442133,2020,11,36,NA
"Bryson City",2020-11-11,"Swain",35.434767,-83.442133,2020,11,37.5,NA
"Bryson City",2020-11-12,"Swain",35.434767,-83.442133,2020,11,23.5,NA
"Bryson City",2020-11-13,"Swain",35.434767,-83.442133,2020,11,19.5,NA
"Bryson City",2020-11-14,"Swain",35.434767,-83.442133,2020,11,27,NA
"Bryson City",2020-11-15,"Swain",35.434767,-83.442133,2020,11,22.5,NA
"Bryson City",2020-11-16,"Swain",35.434767,-83.442133,2020,11,23.5,NA
"Bryson City",2020-11-17,"Swain",35.434767,-83.442133,2020,11,36.5,NA
"Bryson City",2020-11-18,"Swain",35.434767,-83.442133,2020,11,42,NA
"Bryson City",2020-11-19,"Swain",35.434767,-83.442133,2020,11,40,NA
"Bryson City",2020-11-20,"Swain",35.434767,-83.442133,2020,11,24,NA
